Tab,Pillar,Ticker,Current Price,RSI,P/E Ratio,P/S Ratio,Market Cap,Target Price,Graham Undervalued,Upside %,Revenue Growth %,EPS Growth %,Gross Margin %,Net Profit Margin %,Debt/Equity,Beta,Insider Ownership %,Institutional Ownership %,Analyst Recom,Investment Score
Investment Master,AI Power Generation,CEG,274.06,51.68,23.8,3.45,98415500000,362.1,False,32.12,23.45,1095.18,13.18,13.3,0.67,1.11,6.48,74.72,1.42,59.7
Investment Master,AI Power Generation,VST,163.75,60.74,27.34,3.36,55213630000,230.29,False,40.64,-10.0,407.29,14.65,12.45,3.56,1.41,0.97,91.17,1.3,50.4
Investment Master,AI Power Generation,TLN,436.29,68.8,,4.25,19805390000,480.07,,10.03,21.64,145.11,63.43,-0.45,6.34,1.57,1.84,103.78,1.33,51.8
Investment Master,AI Power Generation,SMR,11.74,53.44,,229.82,4290750000,15.64,,33.22,-95.78,-25.52,19.69,-2066.55,0.0,2.26,3.08,48.92,2.4,25.7
Investment Master,AI Networking,ANET,169.67,58.89,58.1,22.0,213648910000,190.3,False,12.16,35.13,26.22,63.54,38.32,0.0,1.6,17.07,72.03,1.12,54.3
Investment Master,AI Networking,CRDO,271.83,65.57,109.62,37.97,50690280000,266.44,False,-1.98,157.02,336.83,68.01,35.37,0.01,3.21,10.3,74.57,1.15,61.9
Investment Master,AI Networking,ALAB,417.07,69.85,281.12,71.39,71489110000,257.11,False,-38.35,93.4,148.21,75.99,26.72,0.03,3.83,18.28,71.34,1.84,55.4
Investment Master,AI Networking,COHR,389.57,53.34,185.99,11.54,76215210000,388.09,False,-0.38,20.55,990.95,37.93,6.07,0.32,2.03,4.45,89.25,1.65,51.1
Investment Master,AI Networking,LITE,850.0,45.78,157.76,26.58,66130000000,1132.81,False,33.27,90.12,332.76,35.36,17.61,1.11,1.48,2.57,103.93,1.48,61.3
Investment Master,AI Memory and Storage,MU,1133.99,66.39,53.54,22.0,1278839080000,1021.02,False,-9.96,196.29,756.34,58.54,41.49,0.15,2.15,0.44,79.29,1.35,63.4
Investment Master,AI Memory and Storage,WDC,746.23,77.96,44.55,21.84,257212140000,560.0,False,-24.96,45.47,483.37,45.4,54.28,0.18,2.06,0.95,98.87,1.72,51.1
Investment Master,AI Memory and Storage,STX,1070.23,74.05,101.59,21.8,239976590000,903.55,False,-15.57,44.07,107.51,41.54,21.6,3.82,2.02,0.27,86.1,1.59,43.5
Investment Master,AI Land,DLR,188.15,50.13,49.77,10.3,66117050000,219.17,False,16.49,16.16,67.62,25.66,20.83,0.82,1.04,0.03,100.54,1.61,52.7
Investment Master,AI Land,EQIX,1092.19,58.3,75.53,11.42,107716420000,1204.61,False,10.29,9.84,19.96,27.71,15.07,1.63,0.96,0.32,100.16,1.48,43.1
Investment Master,AI Land,APLD,46.59,57.24,,37.46,13314000000,72.92,,56.51,139.29,-120.39,27.07,-54.12,1.72,5.64,9.48,70.28,1.0,46.7
Investment Master,AI Land,IRM,127.83,54.44,140.36,5.25,38032580000,131.55,,2.91,21.58,787.08,40.39,3.76,,1.22,0.94,88.29,1.5,51.7
Investment Master,AI Heating and Cooling,VRT,333.05,56.65,83.61,11.8,127927440000,379.53,False,13.96,30.13,135.9,35.0,14.37,0.77,2.03,1.71,85.83,1.62,53.7
Investment Master,AI Heating and Cooling,MOD,297.37,58.56,132.85,4.94,15705830000,351.75,False,18.29,47.47,47.51,23.19,3.82,0.49,1.66,2.15,106.36,1.0,53.2
Investment Master,AI Heating and Cooling,AAON,136.72,57.0,96.17,6.93,11198970000,149.75,False,9.53,54.3,36.23,24.54,7.3,0.49,1.4,16.68,88.28,1.67,51.9
Investment Master,AI Grid and Power Transmission,PWR,702.25,49.45,96.34,3.5,105379740000,802.79,False,14.32,26.33,51.81,13.3,3.67,0.7,1.21,0.94,94.36,1.69,50.3
Investment Master,AI Grid and Power Transmission,GEV,1109.73,65.51,32.33,7.58,298206640000,1227.4,False,10.6,15.98,1816.17,20.16,23.83,0.21,1.01,0.15,79.65,1.69,54.3
Investment Master,AI Grid and Power Transmission,NVT,177.02,62.61,59.53,6.62,28627760000,194.67,False,9.97,53.47,-60.21,37.01,11.26,0.45,1.35,0.99,93.65,1.53,47.2
Investment Master,AI Grid and Power Transmission,POWL,297.2,55.01,58.08,9.56,10827490000,289.17,False,-2.7,6.45,-1.12,30.05,16.51,0.0,1.13,21.67,80.48,1.86,43.9
Investment Master,AI Electrical Infrastructure,ETN,421.77,58.44,41.23,5.74,163773280000,463.71,False,9.94,16.84,-9.15,36.89,13.99,1.11,1.18,0.2,87.73,1.7,46.8
Investment Master,AI Construction,FIX,1967.41,58.51,56.79,6.83,69257610000,2115.29,False,7.52,56.47,120.98,24.51,12.07,0.13,1.66,1.24,96.14,1.45,57.8
Investment Master,AI Construction,EME,836.59,49.22,28.0,2.09,37178290000,1000.14,False,19.55,19.67,30.04,19.29,7.54,0.13,1.12,0.74,97.58,1.91,53.6
Investment Master,AI Construction,STRL,861.88,55.44,77.05,9.17,26447610000,956.43,False,10.97,91.59,141.86,22.43,12.02,0.29,1.83,2.43,93.25,1.2,62.3
Investment Master,AI Cybersecurity,CRWD,684.86,58.16,,34.22,174341260000,720.93,,5.27,25.57,124.28,74.89,-0.89,0.18,1.26,3.52,72.32,1.59,50.7
Investment Master,AI Cybersecurity,PANW,287.78,66.49,236.72,22.11,234540700000,320.25,False,11.28,31.15,-159.65,71.94,7.95,0.07,0.94,1.02,80.36,1.57,41.9
Investment Master,AI Cybersecurity,ZS,124.85,40.52,,6.36,20189440000,192.67,,54.32,25.43,-224.81,76.29,-2.44,0.79,0.98,35.18,54.2,1.48,57.1
Investment Master,AI Cybersecurity,OKTA,117.81,59.62,85.57,6.83,20476240000,120.2,False,2.03,11.19,20.1,77.44,8.24,0.06,0.81,4.97,93.42,1.72,49.8
